Year,Actual (total demand),Actual (final consumption),DECC 2007,DECC 2010,DECC 2012,NG FES 2016,BEIS 2019,DESNZ 2022,NESO CP30 (FC),CCC 7CB (FC),NESO FES 2025 (FC)
2000,371,,,,,,,,,,
2001,372,,,,,,,,,,
2002,373,,,,,,,,,,
2003,376,,,,,,,,,,
2004,378,,,,,,,,,,
2005,382,,,,,,,,,,
2006,376,,,,,,,,,,
2007,374,,374,,,,,,,,
2008,372,,,,,,,,,,
2009,352,,,,,,,,,,
2010,362,,385,362,,,,,,,
2011,348,,,,,,,,,,
2012,349,,,,349,,,,,,
2013,349,,,,,,,,,,
2014,339,,,,,,,,,,
2015,335,,395,375,360,,,,,,
2016,332,,,,,332,,,,,
2017,330,,,,,,,,,,
2018,330,286,,,,,,,,,
2019,327,284,,,,,327,,,,
2020,310,269,410,390,380,340,325,,,,
2021,317,274,,,,,,,,,
2022,318,275,,,,,,318,,,
2023,317,270,,,,,,,,,
2024,319,272,,,,,,,270,,
2025,320.2,273.8,,405,395,355,335,325,275,279,290
2026,,,,,,,,,278,285,298
2027,,,,,,,,,280,292,310
2028,,,,,,,,,282,300,322
2029,,,,,,,,,285,315,338
2030,,,,420,411,375,345,340,287,333,355
2031,,,,,,,,,,355,380
2032,,,,,,,,,,395,408
2033,,,,,,,,,,430,435
2034,,,,,,,,,,465,458
2035,,,,,,400,,365,,500,480
