Year,Total demand (TWh),Population (millions),Demand per capita (MWh)
2000,371,58.89,6.30
2001,372,59.11,6.29
2002,373,59.37,6.28
2003,376,59.64,6.31
2004,378,59.95,6.31
2005,382,60.41,6.32
2006,376,60.83,6.18
2007,374,61.32,6.10
2008,372,61.82,6.02
2009,352,62.26,5.65
2010,362,62.76,5.77
2011,348,63.29,5.50
2012,349,63.71,5.48
2013,349,64.14,5.44
2014,339,64.62,5.25
2015,335,65.09,5.15
2016,332,65.61,5.06
2017,330,65.96,5.00
2018,330,66.29,4.98
2019,327,66.63,4.91
2020,310,66.74,4.64
2021,317,66.98,4.73
2022,318,67.64,4.70
2023,317,68.53,4.63
2024,319,69.28,4.60
